Date,Product ID,Name,Amount,Size Value,Size Unit,Price (BDT),Old Price (BDT),Discount (%),SKU,Vendor,Category,Scraped Category,Units Sold,Rating,URL
2026-09-11,778309,Toren Classic Peanut Milky Compound 55G,55 g,55.0,g,180.0,207.0,13.04,AMTG778309,Al Maktum Grocery Food,milk-3,milk-3,52.0,0.0,https://othoba.com/toren-classic-peanut-milky-compound-55g-al-maktum-grocery-food-778309
2026-09-11,778325,Almarai Cheddar Cheese Slices 400 g,400 g,400.0,g,967.0,1127.0,14.2,AMTG778325,Al Maktum Grocery Food,cheese-3,cheese-3,27.0,0.0,https://othoba.com/almarai-cheddar-cheese-slices-400-g-al-maktum-grocery-food-778325
2026-09-11,778411,Al Mudhish Instant Whole Milk Powder 2.5kg,2.5 kg,2.5,kg,5418.0,6785.0,20.15,AMTG778411,Al Maktum Grocery Food,milk-3,milk-3,9.0,0.0,https://othoba.com/al-mudhish-instant-whole-milk-powder-25kg-al-maktum-grocery-food-778411
2026-09-11,778481,St. Ives Vanilla & Oat Milk Pampering Body Wash 650ml,650 ml,650.0,ml,1499.0,2070.0,27.58,AMTG778481,Al Maktum Grocery Food,milk-3,milk-3,54.0,0.0,https://othoba.com/st-ives-vanilla-oat-milk-pampering-body-wash-650ml-al-maktum-grocery-food-778481
2026-09-11,778492,Al Mudhish Instant Whole Milk Powder 2.5kg,2.5 kg,2.5,kg,5374.0,5980.0,10.13,AMTG778492,Al Maktum Grocery Food,milk-3,milk-3,9.0,0.0,https://othoba.com/al-mudhish-instant-whole-milk-powder-25kg-al-maktum-grocery-food-778492
2026-09-11,778522,Honey & Wheat Toddler Cereal with Milk 400gm(Imported From UK),400 g,400.0,g,1496.0,1587.0,5.73,AMTG778522,Al Maktum Grocery Food,milk-3,milk-3,19.0,0.0,https://othoba.com/honey-wheat-toddler-cereal-with-milk-400gmimported-from-uk-al-maktum-grocery-food-778522
2026-09-11,778543,Cupboard Processed Cream Cheese-200 G,200 g,200.0,g,647.0,863.0,25.03,AMTG778543,Al Maktum Grocery Food,cheese-3,cheese-3,22.0,0.0,https://othoba.com/cupboard-processed-cream-cheese-200-g-al-maktum-grocery-food-778543
2026-09-11,778600,Alfredo with Fresh Cream and Cheese Pasta Sauce 490g,490 g,490.0,g,707.0,863.0,18.08,AMTG778600,Al Maktum Grocery Food,cheese-3,cheese-3,10.0,0.0,https://othoba.com/alfredo-with-fresh-cream-and-cheese-pasta-sauce-490g-al-maktum-grocery-food-778600
2026-09-11,778645,"Lakme Peach Milk Soft Cream, 50ml",50 ml,50.0,ml,324.0,403.0,19.6,AMTG778645,Al Maktum Grocery Food,milk-3,milk-3,9.0,0.0,https://othoba.com/lakme-peach-milk-soft-cream-50ml-al-maktum-grocery-food-778645
2026-09-11,778652,Caring Honey Milk Hair Treatment Hair Mask 500g,500 g,500.0,g,1456.0,1840.0,20.87,AMTG778652,Al Maktum Grocery Food,milk-3,milk-3,23.0,0.0,https://othoba.com/caring-honey-milk-hair-treatment-hair-mask-500g-al-maktum-grocery-food-778652
2026-09-11,778676,COCONUT MILK COCO LITE 400 ML*2pcs=800ml,800 ml,800.0,ml,499.0,575.0,13.22,AMTG778676,Al Maktum Grocery Food,milk-3,milk-3,35.0,0.0,https://othoba.com/coconut-milk-coco-lite-400-ml2pcs800ml-al-maktum-grocery-food-778676
2026-09-11,778746,Nesquik Chocolate Flavored Milk Shake Powder (UK)- 300gm,300 g,300.0,g,1281.0,1380.0,7.17,AMTG778746,Al Maktum Grocery Food,milk-3,milk-3,25.0,0.0,https://othoba.com/nesquik-chocolate-flavored-milk-shake-powder-uk-300gm-al-maktum-grocery-food-778746
2026-09-11,778769,Ensure Powdered Milk Complete And Balanced Nutrition For Adults Vanilla 850g,850 g,850.0,g,4159.0,4485.0,7.27,AMTG778769,Al Maktum Grocery Food,milk-3,milk-3,30.0,0.0,https://othoba.com/ensure-powdered-milk-complete-and-balanced-nutrition-for-adults-vanilla-850g-al-maktum-grocery-food-778769
2026-09-11,78063,Farm Egg (Loose)-30 pcs,30 pcs,30.0,pcs,370.0,383.0,3.39,DSP01910,Daily Shopping,eggs-2,eggs-2,,0.0,https://othoba.com/farm-egg-loose-30-pcs
2026-09-11,78120,Jhatpot Plain paratha 5 pcs,5 pcs,5.0,pcs,130.0,,,DSP01911,Daily Shopping,bakery-breakfast,bakery-breakfast,,0.0,https://othoba.com/jhatpot-plain-paratha-5-pcs
2026-09-11,78244,Goldmark Cake It Premium Biscuit 160gm,160 g,160.0,g,40.0,,,DSP01913,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/goldmark-cake-it-premium-biscuit-160gm
2026-09-11,78336,Julies Everytime Assorted Biscuit Tin 530gm,530 g,530.0,g,822.0,,,DSP01916,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-everytime-assorted-biscuittin-530gm
2026-09-11,78337,Julies Love Letters Choco.Cream -100gm,100 g,100.0,g,250.0,,,DSP01917,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/julies-love-letters-chococream-100gm
2026-09-11,78338,Julies Peanut Butter Sandwich 135gm,135 g,135.0,g,250.0,,,DSP01918,Daily Shopping,bakery-breakfast,bakery-breakfast,,0.0,https://othoba.com/julies-peanut-butter-sandwich-135gm
2026-09-11,78339,Julies Ceria Assorted Biscuits Tin 530gm,530 g,530.0,g,885.0,,,DSP01919,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-ceria-assorted-biscuits-tin-530gm
2026-09-11,78341,Julies Cheese Sandwich Tin-420gm,420 g,420.0,g,822.0,,,DSP01920,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-cheese-sandwich-tin-420gm
2026-09-11,78342,Julies Butter Crackers 20pack Box 500gm,500 g,500.0,g,822.0,,,DSP01921,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-butter-crackers-20pack-box-500gm
2026-09-11,78343,Julies Oat 25 Ten Grains 200gm,200 g,200.0,g,375.0,,,DSP01922,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-oat-25-ten-grains-200gm
2026-09-11,78344,Hup Seng Cream Crackers 125gm,125 g,125.0,g,350.0,,,DSP01923,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/hup-seng-cream-crackers-125gm
2026-09-11,78347,Julies Peanut Butter Sandwich 540gm,540 g,540.0,g,885.0,,,DSP01924,Daily Shopping,bakery-breakfast,bakery-breakfast,,0.0,https://othoba.com/julies-peanut-butter-sandwich-540gm
2026-09-11,78348,Hup Seng Delux Peanut Butter Sandwich 160gm,160 g,160.0,g,225.0,,,DSP01925,Daily Shopping,bakery-breakfast,bakery-breakfast,,0.0,https://othoba.com/hup-seng-delux-peanut-butter-sandwich-160gm
2026-09-11,78349,Julies Oat 25 Strawberry 200gm,200 g,200.0,g,375.0,,,DSP01926,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-oat-25-strawberry-200gm
2026-09-11,78350,Hup Seng Deluxe Vegetable Crackers Biscuit 258gm,258 g,258.0,g,425.0,,,DSP01927,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/hup-seng-deluxe-vegetable-crackers-biscuit-258gm
2026-09-11,78351,Hup Seng Delux Cheese Sandwich 160gm,160 g,160.0,g,225.0,,,DSP01928,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/hup-seng-delux-cheese-sandwich-160gm
2026-09-11,78352,Julies Oat 25 Hazelnuts& Chocolate 200gm,200 g,200.0,g,375.0,,,DSP01929,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-oat-25-hazelnuts-chocolate-200gm
